"Rs_volatile_gasCondensate(pressure), created by Plot Digitizer, 2.5.1"
"Date: 4/5/17, 1:44:54 PM"


29
pressure,Rs_volatile_gasCondensate
9462.99,5881.89
8447.02,5881.89
7706.82,6034.89
7111.76,5732.77
6923.08,5881.89
6661.83,6034.89
6574.75,5732.77
6386.07,6518.18
6124.82,8426.56
5689.40,10893.7
5224.96,14083.1
4789.55,18206.4
4267.05,23536.8
3657.47,37367.2
2989.84,60867.7
2438.32,99147.7
1973.88,149528
1741.65,193306
1538.46,249902
1320.75,306894
1103.05,358017
972.424,407067
769.231,386688
580.552,358017
449.927,348940
348.331,284140
275.762,208787
232.221,170013
174.165,138441
